#  [JENDL-5    300 K], Ra-226, MT =  16 (n,2n)
#    energy (eV)  cross sec. (b)
    2.391149e+01    1.269168e-01
    2.391874e+01    1.337407e-01
    2.392599e+01    1.413190e-01
    2.393187e+01    1.481125e-01
    2.393775e+01    1.555862e-01
    2.394363e+01    1.638505e-01
    2.394951e+01    1.730376e-01
    2.395539e+01    1.833061e-01
    2.396127e+01    1.948457e-01
    2.396568e+01    2.044695e-01
    2.397009e+01    2.150461e-01
    2.397303e+01    2.226884e-01
    2.397811e+01    2.371597e-01
    2.398319e+01    2.534327e-01
    2.398701e+01    2.669858e-01
    2.399082e+01    2.818403e-01
    2.399463e+01    2.981424e-01
    2.399844e+01    3.160533e-01
    2.400226e+01    3.357502e-01
    2.400607e+01    3.574273e-01
    2.400988e+01    3.812970e-01
    2.401369e+01    4.075907e-01
    2.401711e+01    4.334036e-01
    2.402052e+01    4.615567e-01
    2.402394e+01    4.922582e-01
    2.402735e+01    5.257302e-01
    2.403077e+01    5.622088e-01
    2.403418e+01    6.019443e-01
    2.403760e+01    6.452010e-01
    2.404101e+01    6.922566e-01
    2.404443e+01    7.434027e-01
    2.404784e+01    7.989434e-01
    2.405182e+01    8.697089e-01
    2.405524e+01    9.358506e-01
    2.405865e+01    1.007420e+00
    2.406207e+01    1.084762e+00
    2.406548e+01    1.168229e+00
    2.406889e+01    1.258176e+00
    2.407231e+01    1.354957e+00
    2.407572e+01    1.458930e+00
    2.407910e+01    1.569182e+00
    2.408244e+01    1.685795e+00
    2.408577e+01    1.810258e+00
    2.408911e+01    1.942869e+00
    2.409245e+01    2.083907e+00
    2.409579e+01    2.233633e+00
    2.410080e+01    2.475014e+00
    2.410575e+01    2.734075e+00
    2.411059e+01    3.007313e+00
    2.411543e+01    3.300615e+00
    2.412027e+01    3.614024e+00
    2.412512e+01    3.947346e+00
    2.413141e+01    4.409654e+00
    2.413576e+01    4.748094e+00
    2.414157e+01    5.221164e+00
    2.415029e+01    5.972194e+00
    2.415964e+01    6.822426e+00
    2.418598e+01    9.286811e+00
    2.419630e+01    1.019376e+01
    2.420405e+01    1.081694e+01
    2.421128e+01    1.133902e+01
    2.421747e+01    1.173140e+01
    2.422522e+01    1.213948e+01
    2.423296e+01    1.244550e+01
    2.423812e+01    1.258841e+01
    2.424432e+01    1.269233e+01
    2.424993e+01    1.272135e+01
    2.425507e+01    1.269327e+01
    2.426084e+01    1.259978e+01
    2.426626e+01    1.245372e+01
    2.427401e+01    1.215148e+01
    2.428201e+01    1.173203e+01
    2.428950e+01    1.125201e+01
    2.429673e+01    1.071979e+01
    2.430447e+01    1.008853e+01
    2.431480e+01    9.175379e+00
    2.434261e+01    6.580193e+00
    2.435101e+01    5.828342e+00
    2.435843e+01    5.195177e+00
    2.436488e+01    4.674441e+00
    2.437134e+01    4.184934e+00
    2.437618e+01    3.839714e+00
    2.438102e+01    3.513995e+00
    2.438586e+01    3.208133e+00
    2.439070e+01    2.922237e+00
    2.439554e+01    2.656189e+00
    2.440038e+01    2.409675e+00
    2.440522e+01    2.182209e+00
    2.440903e+01    2.016119e+00
    2.441342e+01    1.838284e+00
    2.441782e+01    1.674536e+00
    2.442112e+01    1.560570e+00
    2.442441e+01    1.453856e+00
    2.442771e+01    1.354089e+00
    2.443100e+01    1.260958e+00
    2.443430e+01    1.174146e+00
    2.443760e+01    1.093338e+00
    2.444089e+01    1.018217e+00
    2.444428e+01    9.466015e-01
    2.444771e+01    8.794683e-01
    2.445115e+01    8.174883e-01
    2.445458e+01    7.603306e-01
    2.445802e+01    7.076755e-01
    2.446145e+01    6.592146e-01
    2.446488e+01    6.146520e-01
    2.446832e+01    5.737049e-01
    2.447175e+01    5.361048e-01
    2.447519e+01    5.015965e-01
    2.447862e+01    4.699394e-01
    2.448226e+01    4.392360e-01
    2.448590e+01    4.112300e-01
    2.448954e+01    3.856854e-01
    2.449318e+01    3.623835e-01
    2.449682e+01    3.411215e-01
    2.450047e+01    3.217128e-01
    2.450411e+01    3.039851e-01
    2.450775e+01    2.877808e-01
    2.451139e+01    2.729555e-01
    2.451503e+01    2.593774e-01
    2.451895e+01    2.460035e-01
    2.452344e+01    2.321336e-01
    2.452793e+01    2.196181e-01
    2.453242e+01    2.082963e-01
    2.453691e+01    1.980265e-01
    2.454140e+01    1.886845e-01
    2.454739e+01    1.774848e-01
    2.455337e+01    1.675200e-01
    2.455936e+01    1.586047e-01
    2.456534e+01    1.505846e-01
    2.457198e+01    1.425867e-01
    2.457861e+01    1.353864e-01
    2.458524e+01    1.288655e-01
    2.459188e+01    1.229276e-01
    2.460183e+01    1.149443e-01
    2.461178e+01    1.078859e-01
    2.462246e+01    1.011566e-01
    2.463461e+01    9.438709e-02
    2.464675e+01    8.839489e-02
    2.465889e+01    8.305239e-02
    2.467104e+01    7.826036e-02
    2.468318e+01    7.393990e-02
    2.469745e+01    6.938070e-02
    2.471171e+01    6.530083e-02
    2.472598e+01    6.163243e-02
    2.474025e+01    5.831986e-02
    2.475452e+01    5.531704e-02
    2.477108e+01    5.216911e-02
    2.478879e+01    4.915082e-02
    2.480650e+01    4.644239e-02
    2.482421e+01    4.400197e-02
    2.484191e+01    4.179468e-02
    2.486115e+01    3.962747e-02
    2.488343e+01    3.737630e-02
    2.490571e+01    3.536542e-02
    2.492800e+01    3.356143e-02
    2.495028e+01    3.193660e-02
    2.497256e+01    3.046774e-02
    2.499541e+01    2.910332e-02
    2.501826e+01    2.786462e-02
    2.505252e+01    2.621002e-02
    2.508679e+01    2.476317e-02
    2.512106e+01    2.349064e-02
    2.515533e+01    2.236542e-02
    2.519283e+01    2.127706e-02
    2.523033e+01    2.031566e-02
    2.526783e+01    1.946237e-02
    2.530533e+01    1.870172e-02
    2.536158e+01    1.770680e-02
    2.541784e+01    1.685706e-02
    2.547778e+01    1.608167e-02
    2.554512e+01    1.534097e-02
    2.561246e+01    1.471184e-02
    2.567979e+01    1.417331e-02
    2.572468e+01    1.385656e-02
    2.581447e+01    1.330753e-02
    2.590551e+01    1.284537e-02
    2.599656e+01    1.245881e-02
    2.608761e+01    1.213293e-02
    2.622483e+01    1.173279e-02
    2.636333e+01    1.141535e-02
    2.650183e+01    1.116412e-02
    2.664163e+01    1.096295e-02
    2.682890e+01    1.075769e-02
    2.701750e+01    1.060480e-02
    2.730237e+01    1.045389e-02
    2.759126e+01    1.037096e-02
    2.793414e+01    1.033850e-02
    2.832824e+01    1.036837e-02
    2.872790e+01    1.045209e-02
    2.913320e+01    1.058244e-02
    2.975262e+01    1.086031e-02
    3.038373e+01    1.123579e-02
    3.081239e+01    1.154751e-02
    3.124709e+01    1.191569e-02
    3.168793e+01    1.235037e-02
    3.213499e+01    1.286550e-02
    3.258836e+01    1.348108e-02
    3.293318e+01    1.402579e-02
    3.328125e+01    1.465770e-02
    3.363258e+01    1.539589e-02
    3.386899e+01    1.596269e-02
    3.410707e+01    1.660164e-02
    3.434682e+01    1.732612e-02
    3.458826e+01    1.815221e-02
    3.483139e+01    1.910071e-02
    3.501460e+01    1.990864e-02
    3.519952e+01    2.082194e-02
    3.538444e+01    2.184942e-02
    3.557110e+01    2.302388e-02
    3.575863e+01    2.436917e-02
    3.594616e+01    2.591487e-02
    3.607295e+01    2.709729e-02
    3.619973e+01    2.840938e-02
    3.632652e+01    2.987164e-02
    3.645330e+01    3.150828e-02
    3.658187e+01    3.337561e-02
    3.667830e+01    3.493844e-02
    3.677473e+01    3.666348e-02
    3.687116e+01    3.857367e-02
    3.696759e+01    4.069708e-02
    3.706538e+01    4.310342e-02
    3.716317e+01    4.580820e-02
    3.726096e+01    4.886504e-02
    3.732615e+01    5.113058e-02
    3.739135e+01    5.360498e-02
    3.745654e+01    5.631536e-02
    3.753993e+01    6.017892e-02
    3.761611e+01    6.416574e-02
    3.769230e+01    6.867015e-02
    3.774309e+01    7.200712e-02
    3.779388e+01    7.565062e-02
    3.784467e+01    7.964143e-02
    3.789546e+01    8.402838e-02
    3.795449e+01    8.970264e-02
    3.801352e+01    9.610209e-02
    3.805287e+01    1.008375e-01
    3.809222e+01    1.060044e-01
    3.813158e+01    1.116603e-01
    3.817093e+01    1.178743e-01
    3.821028e+01    1.247290e-01
    3.825725e+01    1.338891e-01
    3.828856e+01    1.406849e-01
    3.831987e+01    1.481199e-01
    3.835118e+01    1.562857e-01
    3.838249e+01    1.652928e-01
    3.841380e+01    1.752761e-01
    3.844511e+01    1.864015e-01
    3.847134e+01    1.967469e-01
    3.850304e+01    2.107342e-01
    3.852417e+01    2.211139e-01
    3.854530e+01    2.324804e-01
    3.856644e+01    2.449865e-01
    3.858757e+01    2.588205e-01
    3.860870e+01    2.742194e-01
    3.862983e+01    2.914883e-01
    3.864575e+01    3.059715e-01
    3.866167e+01    3.219721e-01
    3.867759e+01    3.397916e-01
    3.869350e+01    3.598396e-01
    3.870544e+01    3.766753e-01
    3.871738e+01    3.954137e-01
    3.872932e+01    4.164962e-01
    3.874126e+01    4.405168e-01
    3.874922e+01    4.585494e-01
    3.875988e+01    4.858399e-01
    3.876798e+01    5.095075e-01
    3.877608e+01    5.362647e-01
    3.878418e+01    5.667439e-01
    3.879228e+01    6.017149e-01
    3.879768e+01    6.279774e-01
    3.880309e+01    6.569689e-01
    3.880849e+01    6.890534e-01
    3.881389e+01    7.246400e-01
    3.881929e+01    7.641882e-01
    3.882469e+01    8.082114e-01
    3.883009e+01    8.572818e-01
    3.883549e+01    9.120339e-01
    3.884089e+01    9.731692e-01
    3.884523e+01    1.027375e+00
    3.885013e+01    1.094789e+00
    3.885504e+01    1.169330e+00
    3.885994e+01    1.251725e+00
    3.886484e+01    1.342758e+00
    3.886975e+01    1.443262e+00
    3.887465e+01    1.554129e+00
    3.887955e+01    1.676298e+00
    3.888446e+01    1.810761e+00
    3.888936e+01    1.958555e+00
    3.889427e+01    2.120760e+00
    3.889841e+01    2.269894e+00
    3.890343e+01    2.466350e+00
    3.890845e+01    2.681337e+00
    3.891347e+01    2.916124e+00
    3.891848e+01    3.171980e+00
    3.892350e+01    3.450169e+00
    3.892852e+01    3.751928e+00
    3.893354e+01    4.078453e+00
    3.893833e+01    4.414244e+00
    3.894289e+01    4.756784e+00
    3.894745e+01    5.122287e+00
    3.895201e+01    5.511398e+00
    3.895657e+01    5.924674e+00
    3.896114e+01    6.362557e+00
    3.896798e+01    7.066190e+00
    3.897419e+01    7.754437e+00
    3.897916e+01    8.337385e+00
    3.898577e+01    9.160094e+00
    3.899239e+01    1.003321e+01
    3.899901e+01    1.095422e+01
    3.900871e+01    1.238359e+01
    3.901841e+01    1.389350e+01
    3.903409e+01    1.645381e+01
    3.905954e+01    2.066433e+01
    3.907326e+01    2.279052e+01
    3.908360e+01    2.425149e+01
    3.909395e+01    2.554306e+01
    3.910171e+01    2.637750e+01
    3.911051e+01    2.716411e+01
    3.911827e+01    2.770437e+01
    3.912603e+01    2.809046e+01
    3.913534e+01    2.834099e+01
    3.914051e+01    2.837762e+01
    3.914905e+01    2.827730e+01
    3.915733e+01    2.799142e+01
    3.916509e+01    2.756053e+01
    3.917285e+01    2.698046e+01
    3.918217e+01    2.610295e+01
    3.919252e+01    2.492266e+01
    3.920286e+01    2.356206e+01
    3.921321e+01    2.206177e+01
    3.922602e+01    2.007521e+01
    3.925447e+01    1.552163e+01
    3.926741e+01    1.354741e+01
    3.927679e+01    1.220029e+01
